SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,NodeSpeed
0,0,0,10,AODV,7.5,15
1,0,0,10,AODV,7.5,15
2,0,0,10,AODV,7.5,15
3,0,0,10,AODV,7.5,15
4,0,0,10,AODV,7.5,15
5,0,0,10,AODV,7.5,15
6,0,0,10,AODV,7.5,15
7,0,0,10,AODV,7.5,15
8,0,0,10,AODV,7.5,15
9,0,0,10,AODV,7.5,15
10,0,0,10,AODV,7.5,15
11,0,0,10,AODV,7.5,15
12,0,0,10,AODV,7.5,15
13,0,0,10,AODV,7.5,15
14,0,0,10,AODV,7.5,15
15,0,0,10,AODV,7.5,15
16,0,0,10,AODV,7.5,15
17,0,0,10,AODV,7.5,15
18,0,0,10,AODV,7.5,15
19,0,0,10,AODV,7.5,15
20,0,0,10,AODV,7.5,15
21,0,0,10,AODV,7.5,15
22,0,0,10,AODV,7.5,15
23,0,0,10,AODV,7.5,15
24,0,0,10,AODV,7.5,15
25,0,0,10,AODV,7.5,15
26,0,0,10,AODV,7.5,15
27,0,0,10,AODV,7.5,15
28,0,0,10,AODV,7.5,15
29,0,0,10,AODV,7.5,15
30,0,0,10,AODV,7.5,15
31,0,0,10,AODV,7.5,15
32,0,0,10,AODV,7.5,15
33,0,0,10,AODV,7.5,15
34,0,0,10,AODV,7.5,15
35,0,0,10,AODV,7.5,15
36,0,0,10,AODV,7.5,15
37,0,0,10,AODV,7.5,15
38,0,0,10,AODV,7.5,15
39,0,0,10,AODV,7.5,15
40,0,0,10,AODV,7.5,15
41,0,0,10,AODV,7.5,15
42,0,0,10,AODV,7.5,15
43,0,0,10,AODV,7.5,15
44,0,0,10,AODV,7.5,15
45,0,0,10,AODV,7.5,15
46,0,0,10,AODV,7.5,15
47,0,0,10,AODV,7.5,15
48,0,0,10,AODV,7.5,15
49,0,0,10,AODV,7.5,15
50,0,0,10,AODV,7.5,15
51,0,0,10,AODV,7.5,15
52,0,0,10,AODV,7.5,15
53,0,0,10,AODV,7.5,15
54,0,0,10,AODV,7.5,15
55,0,0,10,AODV,7.5,15
56,0,0,10,AODV,7.5,15
57,0,0,10,AODV,7.5,15
58,0,0,10,AODV,7.5,15
59,0,0,10,AODV,7.5,15
60,0,0,10,AODV,7.5,15
61,0,0,10,AODV,7.5,15
62,0,0,10,AODV,7.5,15
63,0,0,10,AODV,7.5,15
64,0,0,10,AODV,7.5,15
65,0,0,10,AODV,7.5,15
66,0,0,10,AODV,7.5,15
67,0,0,10,AODV,7.5,15
68,0,0,10,AODV,7.5,15
69,0,0,10,AODV,7.5,15
70,0,0,10,AODV,7.5,15
71,0,0,10,AODV,7.5,15
72,0,0,10,AODV,7.5,15
73,0,0,10,AODV,7.5,15
74,0,0,10,AODV,7.5,15
75,0,0,10,AODV,7.5,15
76,0,0,10,AODV,7.5,15
77,0,0,10,AODV,7.5,15
78,0,0,10,AODV,7.5,15
79,0,0,10,AODV,7.5,15
80,0,0,10,AODV,7.5,15
81,0,0,10,AODV,7.5,15
82,0,0,10,AODV,7.5,15
83,0,0,10,AODV,7.5,15
84,0,0,10,AODV,7.5,15
85,0,0,10,AODV,7.5,15
86,0,0,10,AODV,7.5,15
87,0,0,10,AODV,7.5,15
88,0,0,10,AODV,7.5,15
89,0,0,10,AODV,7.5,15
90,0,0,10,AODV,7.5,15
91,0,0,10,AODV,7.5,15
92,0,0,10,AODV,7.5,15
93,0,0,10,AODV,7.5,15
94,0,0,10,AODV,7.5,15
95,0,0,10,AODV,7.5,15
96,0,0,10,AODV,7.5,15
97,0,0,10,AODV,7.5,15
98,0,0,10,AODV,7.5,15
99,0,0,10,AODV,7.5,15
100,0,0,10,AODV,7.5,15
101,1.024,2,10,AODV,7.5,15
102,10.24,20,10,AODV,7.5,15
103,11.776,23,10,AODV,7.5,15
104,16.896,33,10,AODV,7.5,15
105,13.824,27,10,AODV,7.5,15
106,14.336,28,10,AODV,7.5,15
107,13.824,27,10,AODV,7.5,15
108,13.824,27,10,AODV,7.5,15
109,12.8,25,10,AODV,7.5,15
110,11.776,23,10,AODV,7.5,15
111,12.8,25,10,AODV,7.5,15
112,12.288,24,10,AODV,7.5,15
113,11.264,22,10,AODV,7.5,15
114,14.336,28,10,AODV,7.5,15
115,11.264,22,10,AODV,7.5,15
116,8.192,16,10,AODV,7.5,15
117,11.264,22,10,AODV,7.5,15
118,9.728,19,10,AODV,7.5,15
119,10.24,20,10,AODV,7.5,15
120,10.24,20,10,AODV,7.5,15
121,8.704,17,10,AODV,7.5,15
122,6.656,13,10,AODV,7.5,15
123,8.192,16,10,AODV,7.5,15
124,8.704,17,10,AODV,7.5,15
125,8.192,16,10,AODV,7.5,15
126,8.192,16,10,AODV,7.5,15
127,8.192,16,10,AODV,7.5,15
128,9.728,19,10,AODV,7.5,15
129,13.312,26,10,AODV,7.5,15
130,12.288,24,10,AODV,7.5,15
131,11.264,22,10,AODV,7.5,15
132,10.752,21,10,AODV,7.5,15
133,10.752,21,10,AODV,7.5,15
134,15.872,31,10,AODV,7.5,15
135,11.776,23,10,AODV,7.5,15
136,6.656,13,10,AODV,7.5,15
137,6.144,12,10,AODV,7.5,15
138,4.096,8,10,AODV,7.5,15
139,6.656,13,10,AODV,7.5,15
140,5.632,11,10,AODV,7.5,15
141,9.728,19,10,AODV,7.5,15
142,4.608,9,10,AODV,7.5,15
